season_id,player_id,player_name,game_id,game_date,matchup,wl,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,video_available,season,season_type
42020,203081,Damian Lillard,0042000166,2021-06-03,POR vs. DEN,L,43,8,20,0.4,3,11,0.273,9,9,1.0,0,4,4,13,2,0,5,1,28,-11,1,2020-21,Playoffs
42020,203081,Damian Lillard,0042000165,2021-06-01,POR @ DEN,L,52,17,24,0.708,12,17,0.706,9,10,0.9,1,5,6,10,1,3,1,0,55,2,1,2020-21,Playoffs
42020,203081,Damian Lillard,0042000164,2021-05-29,POR vs. DEN,W,31,1,10,0.1,1,6,0.167,7,7,1.0,0,8,8,10,1,0,1,2,10,33,1,2020-21,Playoffs
42020,203081,Damian Lillard,0042000163,2021-05-27,POR vs. DEN,L,40,15,31,0.484,5,16,0.313,2,2,1.0,0,2,2,5,2,0,1,3,37,-6,1,2020-21,Playoffs
42020,203081,Damian Lillard,0042000162,2021-05-24,POR @ DEN,L,42,11,24,0.458,9,16,0.563,11,13,0.846,0,4,4,10,0,1,3,1,42,-16,1,2020-21,Playoffs
42020,203081,Damian Lillard,0042000161,2021-05-22,POR @ DEN,W,40,10,25,0.4,5,12,0.417,9,9,1.0,0,2,2,13,0,0,2,2,34,25,1,2020-21,Playoffs
22020,203081,Damian Lillard,0022001076,2021-05-16,POR vs. DEN,W,31,7,13,0.538,5,9,0.556,3,3,1.0,0,3,3,10,0,0,4,2,22,24,1,2020-21,Regular Season
22020,203081,Damian Lillard,0022001053,2021-05-13,POR @ PHX,L,43,16,23,0.696,2,6,0.333,7,8,0.875,0,5,5,5,1,0,3,0,41,-2,1,2020-21,Regular Season
22020,203081,Damian Lillard,0022001045,2021-05-12,POR @ UTA,W,37,10,20,0.5,3,9,0.333,7,8,0.875,0,2,2,6,0,1,1,1,30,5,1,2020-21,Regular Season
22020,203081,Damian Lillard,0022001031,2021-05-10,POR vs. HOU,W,36,11,20,0.55,6,11,0.545,6,6,1.0,2,7,9,6,0,0,2,1,34,19,1,2020-21,Regular Season
22020,203081,Damian Lillard,0022001018,2021-05-08,POR vs. SAS,W,31,8,17,0.471,4,9,0.444,10,10,1.0,1,3,4,8,0,0,0,1,30,17,1,2020-21,Regular Season
22020,203081,Damian Lillard,0022001010,2021-05-07,POR vs. LAL,W,39,12,18,0.667,5,9,0.556,9,9,1.0,0,4,4,7,2,0,4,0,38,8,1,2020-21,Regular Season
22020,203081,Damian Lillard,0022000991,2021-05-05,POR @ CLE,W,31,10,17,0.588,6,10,0.6,6,7,0.857,0,3,3,9,2,0,2,1,32,14,1,2020-21,Regular Season
